Metric,Random,Majority,Class ratio,Gaussian NB,XGBoost
acc.,0.5020491803278688,0.7132897251608388,0.590647796710544,0.6587276911895341,0.7645589383294301
f1,0.52550569481791,0.5939244831294443,0.5905708720804362,0.6332535023839542,0.7353773133108911
