Metric,Random,Majority,Class ratio,Gaussian NB,XGBoost
acc.,0.5045061778244367,0.6977031683221621,0.5873812215672023,0.6776057228996744,0.83183934964602
f1,0.5243751422584577,0.5734687263163346,0.5880267685236658,0.6285548768852153,0.8209192785296705
