Metric,Random,Majority,Class ratio,Gaussian NB,XGBoost
acc.,0.4921983095103502,0.9331422110958572,0.8769502543810063,0.904016931815123,0.9323218659990846
f1,0.6096330624102824,0.9008695843008098,0.8769126540979653,0.8885899649345514,0.9004595482911447
