Metric,Random,Majority,Class ratio,Gaussian NB,XGBoost
acc.,0.24568696330991413,0.8609518425798809,0.7407716223855286,0.7752308272093462,0.8781797625777275
f1,0.34523291744981993,0.7966226539273173,0.744321906895089,0.771370580903787,0.8369041847441683
